Company                       Product                       Description
ACM Research                  SAPS Single Wafer Cleaning ToolA cleaning tool that applies space alternate phase shift (SAPS) megasonic acoustic vibrations via a fluid bath to clean wafers with high uniformity while minimizing pattern damage.
ACM Research                  TEBO (Timely Energized Bubble Oscillation)A technology/tool that leverages controlled bubble oscillations to assist in cleaning, successfully applied in NAND processes at key customers.
ACM Research                  Electro-Chemical Plating Tool A plating tool used primarily in chip packaging applications, competing with products like Lam Research’s Sabre 3D tools.
AMD                           Rembrandt                     A notebook product line noted for improved battery life and GPU performance.
AMD                           AMD V-Cache                   A product utilizing SoIC hybrid bonding on Zen 3, enabling additional stacked cache and improved interconnect performance.
AMD                           Milan                         An existing AMD server CPU line competing in the market.
AMD                           MI450X                        A forthcoming rack-scale GPU solution (with SKUs IF64 and IF128) expected in H2 2026 that could be competitive with NVIDIA’s VR200 NVL144.
AMD                           AMD RDNA 3 GPUs               Advanced fanout packaged GPUs featuring very fine line-space (L/S) capabilities down to 2-micron.
AMD                           MI400                         Briefly mentioned as part of AMD’s product discussions in the article.
AMD                           MI355X                        An AMD GPU product pitched for competitive performance, though its scale (8 GPUs world size) is compared unfavorably against NVIDIA’s larger scale offerings.
AMD                           MI350X                        Briefly mentioned as part of AMD’s portfolio alongside the MI300 series.
AMD                           AMD CPUs                      Processors described as using flip chip packaging, which, while free of reticle limit issues, suffer from higher power consumption and wiring limitations.
AMD                           Genoa X                       A variant of Genoa that incorporates 3D V-Cache technology to boost performance for technical applications such as computational fluid dynamics and electronic design automation.
AMD                           MI300X                        A high-performance accelerator product that integrates advanced memory technologies for improved compute performance.
AMD                           MI300A                        A variant of the MI300 product line aimed at HPC style applications.
AMD                           AMD MI300X GPU                A GPU option mentioned in discussions of quantization and alternative hardware choices for AI inference.
AMD                           MI300                         A GPU product recently integrated into PyTorch CI/CD as part of AMD's efforts to improve its software infrastructure.
AMD                           AMD 3D V-Cache                An advanced packaging product that utilizes active silicon stacking, employing TSMC’s SoIC CoWo technology.
AMD                           Bergamo                       An AMD CPU variant designed for cloud-native workloads, leveraging the Zen 4C cores which offer a layout optimized for greater density at the expense of frequency.
AMD                           AMD MI300                     A high-performance AI accelerator chip targeting improved compute density in datacenters.
AMD                           AMD MI250X GPU                A GPU product that employs multiple packaging techniques including the use of silicon bridges to connect GPU dies with HBM.
AMD                           Rome                          An existing AMD server CPU line launched in late 2019.
AMD                           MI308X                        An AI accelerator legally shipped to China, designed to skirt the current export restrictions.
AMD                           Phoenix                       A next-generation product (spelled as 'Phenoix' in the article) intended to improve competitiveness in the client segment.
AMD                           MI250X                        An advanced AI chip falling into the ‘Black Zone’ of export controls due to high performance levels.
AMD                           Genoa                         AMD’s 4th generation Epyc server CPU for general-purpose and mainstream workloads; it features 96 cores, 12 DDR5 channels, and 160 PCIe Gen 5 lanes along with significant performance improvements over Milan.
AMD                           Turin                         The next generation AMD server CPU expected to debut in the first half of 2024, featuring additional variants and advanced architectural enhancements.
AMD                           Dragon Range                  A next-generation product expected to help change market perceptions.
AMD                           3D V-Cache                    A 3D stacked cache solution that utilizes TSMC’s SoIC-X die-to-wafer hybrid bonding for improved performance and interconnect density.
AMD                           Strix                         An upcoming product expected to shift the overall market picture.
AMD                           Sienna                        A next-generation AMD server CPU platform mentioned along with other future offerings.
AMD                           AMD Genoa                     A server CPU product from AMD targeted at datacenter applications.
AMD                           Siena                         An AMD CPU variant tailored for Telco and Edge deployments as well as certain enterprise uses, characterized by lower power consumption and reduced memory/core counts relative to Genoa.
AMD (Advanced Micro Devices, Inc.)AMD MI300X                    An AI accelerator product which includes advanced HBM configurations (12+1 layer) to overcome memory bandwidth challenges.
ASE                           ASE Co-Packaged Optics        Research focused on optical packaging solutions aimed at overcoming bottlenecks of traditional wirebonding for 400G and 800G networking generations.
ASML                          High-NA EUV Lithography ScannerA high numerical aperture extreme ultraviolet lithography scanner designed for high-volume manufacturing at advanced semiconductor process nodes.
ASML                          NXE:3300                      A low‐NA EUV development tool which, for comparison, had only reached 15% of its target source power at shipment.
ASML                          EXE:5000                      A high‐NA EUV lithography system deployed by Intel, notable for its advanced scanner design and high source power performance.
ASML                          NXE:3400B                     A production low‐NA EUV system noted for reaching 50% of the target source power at its first shipment.
ASML                          Lithography Tools             Tools used in semiconductor manufacturing to pattern wafers via advanced lithographic techniques.
